"Area Type"," Area"," Area Name"," Standard Occupational Code"," Occupational Title"," Employment","Mean Wage"," Median Wage"," Entry Wage"," Experienced Wage                                                                                                                                                                                                                                             "
"1","36","New York State","17-2061","Computer Hardware Engineers","2,500","$150,879","$145,634","$96,240","$178,198"
"1","36","New York State","17-2071","Electrical Engineers","7,720","$121,994","$115,605","$82,475","$141,754"
"1","36","New York State","17-2072","Electronics Engineers, Except Computer","2,180","$123,653","$118,335","$83,439","$143,760"
"1","36","New York State","17-2081","Environmental Engineers","2,560","$108,393","$100,535","$70,498","$127,341"
"1","36","New York State","17-2111","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","1,600","$124,637","$122,261","$85,817","$144,047"
"1","36","New York State","17-2112","Industrial Engineers","12,640","$112,003","$104,538","$78,146","$128,932"
"1","36","New York State","17-2121","Marine Engineers and Naval Architects",,"$120,585","$112,000","$106,006","$127,876"
"1","36","New York State","17-2131","Materials Engineers","750","$124,740","$125,293","$80,203","$147,010"
"1","36","New York State","17-2141","Mechanical Engineers","8,420","$118,034","$107,984","$78,816","$137,642"
"1","36","New York State","17-2151","Mining and Geological Engineers, Including Mining Safety Engineers",,"$96,354","$82,167","$67,845","$110,609"
"1","36","New York State","17-2161","Nuclear Engineers",,"$160,485","$163,620","$117,443","$182,006"
"1","36","New York State","17-2171","Petroleum Engineers",,"$131,445","$97,795","$75,895","$159,220"
"1","36","New York State","17-2199","Engineers, All Other","5,020","$122,159","$116,462","$79,445","$143,517"
"1","36","New York State","17-3011","Architectural and Civil Drafters","8,010","$78,942","$76,790","$55,790","$90,518"
"1","36","New York State","17-3012","Electrical and Electronics Drafters","930","$100,417","$90,481","$62,811","$119,220"
"1","36","New York State","17-3013","Mechanical Drafters","2,030","$77,013","$71,328","$55,835","$87,602"
"1","36","New York State","17-3019","Drafters, All Other","910","$73,583","$64,752","$53,948","$83,401"
"1","36","New York State","17-3021","Aerospace Engineering and Operations Technicians",,"$65,344","$64,352","$52,172","$71,929"
"1","36","New York State","17-3022","Civil Engineering Technicians","1,260","$67,139","$65,528","$45,544","$77,936"
"1","36","New York State","17-3023","Electrical and Electronic Engineering Technicians","4,270","$80,269","$79,655","$54,809","$93,000"
"1","36","New York State","17-3024","Electro-Mechanical Technicians","430","$81,624","$76,289","$54,557","$95,157"
"1","36","New York State","17-3025","Environmental Engineering Technicians","800","$64,070","$61,644","$50,542","$70,834"
"1","36","New York State","17-3026","Industrial Engineering Technicians","3,910","$70,512","$68,646","$52,039","$79,749"
"1","36","New York State","17-3027","Mechanical Engineering Technicians","1,390","$75,547","$77,741","$52,629","$87,006"
"1","36","New York State","17-3028","Calibration Technologists and Technicians","650","$68,194","$61,367","$45,631","$79,476"
"1","36","New York State","17-3029","Engineering Technicians, Except Drafters, All Other","2,200","$69,099","$65,825","$49,317","$78,990"
"1","36","New York State","17-3031","Surveying and Mapping Technicians","1,900","$65,850","$59,472","$46,211","$75,670"
"1","36","New York State","19-0000","Life, Physical, and Social Science Occupations","81,760","$95,096","$82,419","$55,184","$115,051"
"1","36","New York State","19-1011","Animal Scientists",,"$96,049","$89,762","$67,475","$110,336"
"1","36","New York State","19-1012","Food Scientists and Technologists","880","$100,856","$98,313","$69,504","$116,532"
"1","36","New York State","19-1013","Soil and Plant Scientists",,"$81,180","$72,030","$59,019","$92,261"
"1","36","New York State","19-1021","Biochemists and Biophysicists","1,660","$103,496","$98,006","$72,160","$119,164"
"1","36","New York State","19-1022","Microbiologists","1,090","$97,231","$88,181","$63,435","$114,128"
"1","36","New York State","19-1029","Biological Scientists, All Other","2,610","$113,650","$95,596","$69,572","$135,689"
"1","36","New York State","19-1031","Conservation Scientists","750","$84,387","$67,333","$46,466","$103,347"
"1","36","New York State","19-1032","Foresters","280","$82,742","$78,819","$62,841","$92,694"
"1","36","New York State","19-1041","Epidemiologists","460","$107,480","$92,135","$73,100","$124,670"
"1","36","New York State","19-1042","Medical Scientists, Except Epidemiologists","8,440","$109,006","$87,258","$67,707","$129,655"
"1","36","New York State","19-1099","Life Scientists, All Other",,"$86,506","$77,958","$57,650","$100,934"
"1","36","New York State","19-2012","Physicists","1,190","$178,916","$178,892","$101,716","$217,516"
"1","36","New York State","19-2031","Chemists","4,040","$100,481","$85,962","$62,717","$119,361"
"1","36","New York State","19-2032","Materials Scientists","630","$136,822","$128,897","$93,172","$158,647"
"1","36","New York State","19-2041","Environmental Scientists and Specialists, Including Health","3,500","$91,502","$82,419","$60,592","$106,957"
